"altura_tot","diametro","inclinacio","origen","barrio","comuna","fres_am"
5,42,0,"Exótico","FLORES",7,"no"
7,18,20,"Nativo/Autóctono","VILLA PUEYRREDON",12,"no"
3,8,0,"Exótico","BOEDO",5,"no"
3,40,0,"Exótico","VILLA LUGANO",8,"no"
8,23,0,"Exótico","VILLA SOLDATI",8,"si"
11,60,0,"Exótico","VILLA REAL",10,"si"
11,50,0,"Exótico","VILLA URQUIZA",12,"no"
8,20,6,"Exótico","RECOLETA",2,"no"
3,12,0,"Exótico","PARQUE CHACABUCO",7,"no"
3,26,0,"Exótico","VILLA RIACHUELO",8,"no"
15,40,7,"Exótico","ALMAGRO",5,"no"
9,46,0,"Exótico","FLORES",7,"no"
17,50,10,"Nativo/Autóctono","PALERMO",14,"no"
9,36,0,"Exótico","BARRACAS",4,"si"
3,35,0,"Exótico","VILLA ORTUZAR",15,"si"
12,38,0,"Exótico","VILLA DEVOTO",11,"si"
12,45,0,"Exótico","LINIERS",9,"no"
15,36,15,"Exótico","VILLA DEVOTO",11,"no"
10,28,10,"Exótico","PARQUE CHACABUCO",7,"si"
6,20,0,"Exótico","VILLA DEVOTO",11,"no"
6,32,0,"Exótico","VILLA DEVOTO",11,"no"
4,25,9,"Exótico","VILLA DEVOTO",11,"no"
7,30,0,"Exótico","VERSALLES",10,"si"
9,27,0,"Exótico","BOCA",4,"si"
5,15,0,"Exótico","BOEDO",5,"no"
11,50,0,"Exótico","BELGRANO",13,"no"
12,48,0,"Exótico","CHACARITA",15,"no"
3,8,0,"Exótico","RETIRO",1,"no"
4,25,0,"Exótico","PARQUE AVELLANEDA",9,"no"
4,54,0,"Exótico","VILLA LUGANO",8,"no"
6,30,0,"Exótico","FLORES",7,"no"
9,58,0,"Exótico","PARQUE AVELLANEDA",9,"no"
9,30,0,"Exótico","NUEVA POMPEYA",4,"no"
8,33,0,"Exótico","ALMAGRO",5,"si"
4,25,0,"Exótico","NUEVA POMPEYA",4,"no"
8,12,7,"Exótico","CABALLITO",6,"si"
5,21,0,"Exótico","VILLA GRAL. MITRE",11,"si"
7,34,0,"Exótico","PARQUE AVELLANEDA",9,"no"
5,15,0,"Exótico","NUEVA POMPEYA",4,"no"
10,38,0,"Exótico","MATADEROS",9,"si"
20,65,13,"Exótico","RECOLETA",2,"no"
10,27,11,"Exótico","BARRACAS",4,"si"
8,21,0,"Exótico","VILLA URQUIZA",12,"no"
3,6,12,"Exótico","LINIERS",9,"no"
11,40,0,"Exótico","VILLA LUGANO",8,"si"
7,17,0,"Exótico","VILLA URQUIZA",12,"no"
11,48,7,"Exótico","VELEZ SARSFIELD",10,"no"
